Offset,Data,Class
-2355,-2355,0
-2556,-2556,0
-2961,-2961,0
-2937,-2937,0
-2937,-2937,0
-2749.2,-2937,0
-2865.6,-2951,0
-2944.6,-2951,0
-2942.6,-2754,0
-2906,-3054,0
-2929.4,-3114,0
-2964.8,-2563,0
-2887.2,-2770,0
-2851,-2948,0
-2889.8,-2877,0
-2854.4,-2975,0
-2826.6,-3088,0
-2931.6,-3088,0
-2995.2,-3093,0
-3024.2,-3237,0
-3096.2,-3237,0
-3148.6,-2459,0
-3022.8,-2707,0
-2946.6,-3018,0
-2931.6,-2962,0
-2876.6,-3051,0
-2839.4,-3051,0
-2957.8,-2911,0
-2998.6,-2911,0
-2977.2,-2911,0
-2967,-2933,0
-2943.4,-2679,0
-2869,-3046,0
-2896,-3054,0
-2924.6,-3054,0
-2953.2,-2812,0
-2929,-2835,0
-2960.2,-2835,0
-2918,-3068,0
-2920.8,-3068,0
-2923.6,-3142,0
-2989.6,-2760,0
-2974.6,-2760,0
-2959.6,-2614,0
-2868.8,-2841,0
-2823.4,-2857,0
-2766.4,-2990,0
-2812.4,-2990,0
-2858.4,-2974,0
-2930.4,-2974,0
-2957,-3202,0
-3026,-3202,0
-3068.4,-3202,0
-3110.8,-3202,0
-3156.4,-3023,0
-3166.2,-3023,0
-3130.4,-3097,0
-3109.4,-2914,0
-3051.8,-2914,0
-2994.2,-2959,0
-2981.4,-2881,0
-2953,-3235,0
-2980.6,-3328,0
-3063.4,-3073,0
-3095.2,-3073,0
-3118,-2935,0
-3128.8,-2885,0
-3058.8,-2832,0
-2959.6,-2904,0
-2925.8,-2904,0
-2892,-2839,0
-2872.8,-3005,0
-2896.8,-3220,0
-2974.4,-3097,0
-3013,-3097,0
-3051.6,-2977,0
-3079.2,-3007,0
-3079.6,-3057,0
-3047,-3018,0
-3031.2,-3063,0
-3024.4,-2989,0
-3026.8,-3227,0
-3070.8,-3302,0
-3119.8,-3302,0
-3176.6,-2666,0
-3097.2,-3032,0
-3105.8,-3017,0
-3063.8,-3007,0
-3004.8,-2978,0
-2940,-2876,0
-2982,-2866,0
-2948.8,-3214,0
-2988.2,-3214,0
-3029.6,-3214,0
-3076.8,-2661,0
-3033.8,-2661,0
-2992.8,-2944,0
-2938.8,-3035,0
-2903,-3035,0
-2867.2,-3026,0
-2940.2,-2992,0
-3006.4,-2987,0
-3015,-2900,0
-2988,-3202,0
-3021.4,-3412,0
-3098.6,-3089,0
-3118,-2632,0
-3047,-2856,0
-3038.2,-2856,0
-2969,-3113,0
-2909.2,-2913,0
-2874,-2913,0
-2930.2,-2913,0
-2941.6,-2913,0
-2953,-3031,0
-2936.6,-3031,0
-2960.2,-3237,0
-3025,-2914,0
-3025.2,-2884,0
-3019.4,-3041,0
-3021.4,-2979,0
-3011,-2949,0
-2953.4,-2896,0
-2949.8,-2896,0
-2952.2,-2904,0
-2924.8,-2904,0
-2909.8,-3264,0
-2972.8,-3266,0
-3046.8,-3032,0
-3074,-2638,0
-3020.8,-2945,0
-3029,-2880,0
-2952.2,-3041,0
-2907.2,-2986,0
-2898,-3050,0
-2980.4,-3050,0
-3001.4,-3122,0
-3049.8,-3125,0
-3066.6,-3268,0
-3123,-3268,0
-3166.6,-2631,0
-3082.8,-3238,0
-3106,-3090,0
-3099,-3015,0
-3048.4,-3015,0
-2997.8,-2980,0
-3067.6,-2980,0
-3016,-3096,0
-3017.2,-3096,0
-3033.4,-3373,0
-3105,-3031,0
-3115.2,-2670,0
-3053.2,-3210,0
-3076,-3169,0
-3090.6,-3169,0
